"Statistic Label","CensusYear","Sex","At Work School or College","Time Leaving Home","Means of Travel","UNIT","VALUE"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","07:01 - 07:30","On foot","Number","6618"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","07:01 - 07:30","Bicycle","Number","4748"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","07:01 - 07:30","Bus, minibus or coach","Number","7695"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","07:01 - 07:30","Train, DART or LUAS","Number","5139"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","07:01 - 07:30","Motorcycle or scooter","Number","919"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","07:01 - 07:30","Motor car: Driver","Number","82504"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","07:01 - 07:30","Motor car: Passenger","Number","5433"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","07:01 - 07:30","Van","Number","25168"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","07:01 - 07:30","Other, incl. lorry","Number","1560"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","07:01 - 07:30","Not stated","Number","328"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","07:01 - 07:30","All means of travel","Number","140112"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","07:31 - 08:00","On foot","Number","11926"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","07:31 - 08:00","Bicycle","Number","8130"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","07:31 - 08:00","Bus, minibus or coach","Number","9793"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","07:31 - 08:00","Train, DART or LUAS","Number","7869"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","07:31 - 08:00","Motorcycle or scooter","Number","1187"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","07:31 - 08:00","Motor car: Driver","Number","105407"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","07:31 - 08:00","Motor car: Passenger","Number","5539"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","07:31 - 08:00","Van","Number","26397"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","07:31 - 08:00","Other, incl. lorry","Number","1901"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","07:31 - 08:00","Not stated","Number","504"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","07:31 - 08:00","All means of travel","Number","178653"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","08:01 - 08:30","On foot","Number","12361"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","08:01 - 08:30","Bicycle","Number","8433"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","08:01 - 08:30","Bus, minibus or coach","Number","4856"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","08:01 - 08:30","Train, DART or LUAS","Number","4139"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","08:01 - 08:30","Motorcycle or scooter","Number","999"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","08:01 - 08:30","Motor car: Driver","Number","76567"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","08:01 - 08:30","Motor car: Passenger","Number","3656"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","08:01 - 08:30","Van","Number","14513"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","08:01 - 08:30","Other, incl. lorry","Number","776"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","08:01 - 08:30","Not stated","Number","344"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","08:01 - 08:30","All means of travel","Number","126644"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","08:31 - 09:00","On foot","Number","10765"
"Population Usually Resident and Present in the State","2022","Male","Population aged 15 years and over at work","08:31 - 09:00","Bicycle","Number","4698"
